Index,Date,Time,Longitude,Latitude,Magnitude,Depth,Location
223,2021-05-21,23:18:10,99.98,25.62,3,8,"Yangbi,Yunnan"
224,2021-05-21,23:22:49,99.88,25.66,3.5,8,"Yangbi,Yunnan"
225,2021-05-21,23:23:35,99.98,25.6,4.5,8,"Yangbi,Yunnan"
226,2021-05-22,0:24:06,99.87,25.69,3,8,"Yangbi,Yunnan"
227,2021-05-22,0:51:41,99.87,25.7,4,8,"Yangbi,Yunnan"
228,2021-05-22,0:53:31,99.91,25.65,3.2,8,"Yangbi,Yunnan"
229,2021-05-22,0:56:08,99.91,25.63,3.2,9,"Yangbi,Yunnan"
230,2021-05-22,1:36:06,99.94,25.62,3.5,9,"Yangbi,Yunnan"
231,2021-05-22,1:38:04,105.3,28.09,3.4,10,"Xuyong,Sichuan"
232,2021-05-22,1:50:18,100,25.61,3.3,14,"Yangbi,Yunnan"
233,2021-05-22,2:04:11,98.34,34.59,7.4,17,"Madoi,Qinghai"
234,2021-05-22,2:15:09,99.1,34.43,3.3,10,"Maqin,Qinghai"
235,2021-05-22,2:16:32,99.04,34.45,3.9,10,"Maqin,Qinghai"
236,2021-05-22,2:24:27,99.88,25.66,3,10,"Yangbi,Yunnan"
237,2021-05-22,2:25:04,99.05,34.44,3.4,10,"Maqin,Qinghai"
238,2021-05-22,2:28:44,99.91,25.62,3.9,10,"Yangbi,Yunnan"
239,2021-05-22,2:30:30,98.98,34.39,3.4,10,"Madoi,Qinghai"
240,2021-05-22,2:36:01,98.4,34.64,3.6,10,"Madoi,Qinghai"
241,2021-05-22,2:38:30,98.39,34.69,3.1,10,"Madoi,Qinghai"
242,2021-05-22,2:43:26,99.13,34.48,3.8,10,"Maqin,Qinghai"
243,2021-05-22,2:49:22,99.11,34.4,3.1,10,"Maqin,Qinghai"
244,2021-05-22,2:50:58,98.92,34.48,3,10,"Maqin,Qinghai"
245,2021-05-22,3:03:06,99.07,34.46,4.3,5,"Maqin,Qinghai"
246,2021-05-22,3:09:17,97.96,34.74,3.9,10,"Madoi,Qinghai"
247,2021-05-22,3:14:45,100.93,33.74,3.6,10,"Jiuzhi,Qinghai"
248,2021-05-22,3:16:38,99.08,34.47,3.3,10,"Maqin,Qinghai"
249,2021-05-22,3:22:38,98.52,34.58,3,10,"Madoi,Qinghai"
250,2021-05-22,3:47:01,98.05,34.74,3,10,"Madoi,Qinghai"
251,2021-05-22,3:49:14,98.01,34.74,4.6,10,"Madoi,Qinghai"
252,2021-05-22,4:04:29,98.64,34.52,3.4,10,"Madoi,Qinghai"
253,2021-05-22,4:05:18,101.92,34.29,3.1,19,"Henan,Qinghai"
254,2021-05-22,4:10:57,99.95,25.62,3.4,12,"Yangbi,Yunnan"
255,2021-05-22,4:13:14,99.1,34.47,3.1,10,"Maqin,Qinghai"
256,2021-05-22,4:23:58,99.05,34.47,3.3,10,"Maqin,Qinghai"
257,2021-05-22,4:36:13,98.53,34.64,3,10,"Madoi,Qinghai"
258,2021-05-22,5:09:11,99.25,34.47,3.7,10,"Maqin,Qinghai"
259,2021-05-22,5:59:35,98.46,34.64,4.6,10,"Madoi,Qinghai"
260,2021-05-22,7:59:00,110.8,33.29,3.6,17,"Shangnan,Shaanxi"
261,2021-05-22,8:36:47,99.9,25.68,3.4,12,"Yangbi,Yunnan"
262,2021-05-22,9:48:01,99.9,25.67,4,12,"Yangbi,Yunnan"
263,2021-05-22,10:29:34,97.5,34.85,5.1,10,"Madoi,Qinghai"
264,2021-05-22,10:38:44,98.94,34.55,4.9,10,"Maqin,Qinghai"
265,2021-05-22,10:42:17,97.98,34.74,3.1,10,"Madoi,Qinghai"
266,2021-05-22,11:07:12,75.86,36.85,3.6,10,"Tashkurgan,Xinjiang"
267,2021-05-22,11:16:11,98.08,34.72,3.5,10,"Madoi,Qinghai"
268,2021-05-22,11:21:17,98.07,34.72,4.7,10,"Madoi,Qinghai"
269,2021-05-22,11:30:44,100.9,34.28,4.4,10,"Maqu,Gansu"
270,2021-05-22,12:03:35,99.12,35.63,4,10,"Dulan,Qinghai"
271,2021-05-22,12:59:04,97.69,34.75,3,10,"Madoi,Qinghai"
272,2021-05-22,15:06:22,98.92,34.51,4.8,10,"Maqin,Qinghai"
273,2021-05-22,17:20:25,98.07,34.71,3,10,"Madoi,Qinghai"
274,2021-05-22,17:24:17,99.9,25.66,3.3,10,"Yangbi,Yunnan"
275,2021-05-22,17:39:34,97.65,34.77,4.3,10,"Madoi,Qinghai"
276,2021-05-22,20:14:37,99.93,25.61,4.4,10,"Yangbi,Yunnan"
277,2021-05-22,20:32:41,98.09,34.72,3.3,10,"Madoi,Qinghai"
278,2021-05-22,22:01:12,98.52,34.63,3.1,10,"Madoi,Qinghai"
279,2021-05-22,22:30:05,99.93,25.6,3.2,11,"Yangbi,Yunnan"
280,2021-05-22,23:24:54,97.52,34.83,3.1,10,"Madoi,Qinghai"
281,2021-05-22,23:46:14,99.11,34.42,3.3,10,"Maqin,Qinghai"
282,2021-05-23,11:46:53,99.14,34.44,3.9,11,"Maqin,Qinghai"
283,2021-05-23,12:12:13,98.72,34.49,3.1,11,"Madoi,Qinghai"
284,2021-05-23,15:24:32,99.06,34.48,4,11,"Maqin,Qinghai"
285,2021-05-23,16:35:45,98.63,34.51,3.5,11,"Madoi,Qinghai"
286,2021-05-24,7:23:42,98.25,34.7,3.7,11,"Madoi,Qinghai"
287,2021-05-24,8:10:58,100,25.59,3,8,"Yangbi,Yunnan"
288,2021-05-24,8:43:10,100.01,25.59,3.1,8,"Yangbi,Yunnan"
289,2021-05-24,16:31:28,97.56,34.78,4.1,9,"Madoi,Qinghai"
290,2021-05-24,22:15:19,99.02,34.45,4.4,10,"Maqin,Qinghai"
291,2021-05-24,22:22:06,75.28,40.03,3.2,10,"Wuqia,Xinjiang"
292,2021-05-24,23:26:52,102.93,26.91,3.1,11,"Qiaojia,Yunnan"
293,2021-05-24,23:35:41,98.62,34.6,3.2,10,"Madoi,Qinghai"
294,2021-05-25,2:15:56,97.69,34.78,3.5,10,"Madoi,Qinghai"
295,2021-05-25,7:00:20,98.04,34.73,4.1,10,"Madoi,Qinghai"
296,2021-05-25,8:09:39,104.7,29.63,3,12,"Weiyuan,Sichuan"
297,2021-05-25,14:46:52,99.27,34.46,3,10,"Maqin,Qinghai"
298,2021-05-25,17:30:38,99.2,34.45,3,10,"Maqin,Qinghai"
299,2021-05-25,21:50:40,101.31,39.96,3,10,"Ayouqi,InnerMongolia"
300,2021-05-26,0:48:01,121.53,23.96,4.3,21,"Hualian,Taiwan,China"
301,2021-05-26,4:46:08,86.47,29,4.2,10,"Nielamu,Tibet"
302,2021-05-26,6:37:24,99.89,25.65,3,10,"Yangbi,Yunnan"
303,2021-05-26,13:54:11,98.53,34.59,3.4,10,"Madoi,Qinghai"
304,2021-05-27,12:14:29,122.62,24.86,4,11,"ThecoastalareanearYilan,Taiwan,China"
305,2021-05-27,19:52:47,99.95,25.74,4.1,12,"Yangbi,Yunnan"
306,2021-05-27,21:06:07,99.17,34.46,4.9,8,"Maqin,Qinghai"
307,2021-05-27,23:03:57,99.89,25.69,3.6,12,"Yangbi,Yunnan"
